sample_id,group,period,channel,keyword,pub_date,content,post_id
51,Chronic,post,blog,코로나 백신 피해,2026-03-03,"백신 제조번호 확인 방법 감사원 이물질 적발 실태와 직접 조회
또한 민간 단체인 코로나19 백신 피해자 가족협의회에서는 실제 사례들을 공유받을 수 있습니다. 정부가 공개하지 않는 현장의 목소리와 특정 번호별 이상 반응 기록을 참고하기에 아주 좋습니다. 감사원...",12402a75de7e3aad
52,Chronic,post,blog,코로나 백신 부작용,2026-02-27,"동구동 동물병원 우리 아이 건강 첫 단추, 반려동물 필수... 
종합백신(DHPPL) 홍역(디스템퍼), 간염, 파보장염, 파라인플루엔자, 렙토스피라 - 생후 6~8주부터 2~3주 간격, 총 5회 이상 2. 코로나 장염 전염성 소화기 질환 - 2~3주 간격으로 총 2~3회 3. 켄넬코프 전염성 기관지염...",9c2f01d1f2a96e19
53,FM_Direct,pre,blog,코로나 백신 이물질,2026-02-09,"댕댕이 천국 입성, 백신부터 꼼꼼하게! 안심 놀이터 가이드
일부 놀이터에서는 인플루엔자나 코로나 바이러스 백신 접종 증명서를 요구하기도 합니다. '백신... 발바닥에 상처나 염증이 있는지, 이물질이 끼어있는지 확인하고, 깨끗하게 씻겨주는 것이 좋습니다. '발바닥...",042e1466c3a28a37
54,Chronic,pre,blog,백신 피해자 모임,2026-02-19,"미국, EU와 영국 검열법에 의해 금지된 콘텐츠를 게시하는... 
https://blog.naver.com/hikaisha/224186013414  다문화주의의 종말과 자유주의자들의 유토피아적 환상 https://blog.naver.com/hikaisha/224186025516  민주당 관리들은 미국인들을 부수적 피해자로 취급한다...",31e6f46222658fec
55,Court,pre,blog,코로나 백신 항소,2026-02-15,"'미스 아메리카' 조직위원회가 '여자는 여자다'라고 말한... 그녀의 어머니도 이 싸움에 동참했고, 몇 주 동안 항소와 이메일이 오갔으며, 심지어 종교의... ******************************************************************* 아래는 주요(主要)한 기사 내용 등 코로나19...",cbfd4ebea470136a
56,FM_Direct,pre,blog,정은경 백신,2026-02-16,"정은경 청장, ""전 (백신) 못맞겠더군요""
소위 높은 사람들은 안 맞는 마지막 시대의 MRNA 물질 (거짓 백신) 주사. 화이자 사장도 자신은 코로나 백신을 안 맞았다고 했고 빌 게이츠도 자기 자녀들에게 백신을 맞추지 않겠다고 했다 #백신 주작용 #MRNA...",19f69d06acba7f64
57,Court,post,blog,백신 피해 법원,2026-03-07,"&quot;코로나 백신, 심근경색 사망과 밀접&quot; 첫 인정 / SBS 경험담과 피해사례가 넘치는데도 공식적인 법원 판결이 처음 나왔다는게 어이없다고 해야 되나... (나의 경우도 고교동기, 한의사 지인2명이 백신접종 직후 사망하였다. 그리고 고교동기중 한명은 1년전...",dd71d82032de5531
58,Court,pre,blog,코로나 백신 소송,2026-01-28,"미니애폴리스의 대혼란 영구적인 코로나 봉쇄부터 백신 여권, 기후 변화 봉쇄, 모든 경제적 자유를 박탈하는 무현금 디지털 화폐 시스템, 사유 재산이 폐지되는 &quot;공유 경제&quot;, AI가 모든 것을 지배하는 4차 산업 혁명, 그리고...",03799e57b3a5692f
59,FM_Direct,pre,blog,코로나 백신 곰팡이,2026-02-22,"pneumonia(뉴모니아, 폐렴)’
- 바이러스, 예를 들어 인플루엔자, 코로나19도 폐렴을 일으킬 수 있어요. - 드물게 곰팡이 감염으로... 예방 - 폐렴구균 백신과 인플루엔자 백신을 맞는 것이 중요해요. - 손 씻기 등 개인 위생 관리도...",92bc9a108321f161
60,Chronic,pre,blog,코로나 백신 피해,2026-02-09,"관세행정 개편부터 부산 미래 교통까지, 국민 생활을 바꾸는... 
개인통관고유부호 유효기간을 1년으로 설정하고 정기 갱신 제도를 도입해, 도용·유출 피해 예방과... 검사 대상은 코로나19, 인플루엔자 A/B, 동물인플루엔자 인체감염증(AI) 등 호흡기 감염병 3종이며, 기침...",34db39fd0a0e38b7
61,FM_Direct,post,blog,감사원 백신,2026-02-26,"'백신 테러' 의혹, 국민의힘 장동혁 대표, 이재명 정부 책임론... 
감사원은 일부 백신 이상 반응과 이물 사이의 인과관계를 단정하기는 어렵다고 덧붙였습니다. 국민 불안 해소 위한 정부의 명확한 입장 요구 장동혁 대표는 이재명 대통령이 정은경 장관을 즉각 경질하고...",9c0305f68a06b5da
62,Court,pre,blog,코로나 백신 소송,2026-02-06,"사회 일반.2.네이버(언론사제공) 2026년2월6일 김정관 장관, 대구 지역 M.AX 간담회 = 김정관 산업통상부 장관이 5일 오후 대구광역시 동구 메리어트호텔에서 열린 대구 지역 M.AX 간담회에서 참석자들과 기념촬영을 하고 있다. (산업통상부 제공. 재판매 및...",3c409b8b204ffee0
63,FM_Direct,post,news_comment,코로나 백신 곰팡이,2026-02-24,"송언석 ""민주, 사법파괴 3법 강행 즉각 중단해야""…'李 방탄입법' 비판
시기 코로나 방역이 얼마나 구조적으로 허술했고 부실했는지 확인시켜주고 있다""며 ""그 중심에는 당시 질병관리청장이자 현재 보건복지부 수장인 정은경 장관이 있다""고 비판했다. 김 간사는 ""백신에서 곰팡이, 머리카락...",81892248cf640cd1
64,Court,pre,blog,코로나 백신 소송,2026-02-03,"미네소타 주에서 연방 자금을 지원받는 학교들에서... ******************************************************************* 아래는 주요(主要)한 기사 내용 등 코로나19... com/hikaisha/223931795755 그들은 위기를 조작(기후, 코로나 등)하고, 대중의 반응을 촉발한 다음...",f8f0be771b612d19
65,Chronic,post,blog,백신 피해 보상,2026-02-27,"16회 일반양생학-치병명상론(1999.02.26)
https://youtu.be/5Vh_lcQwY6o?si=FoCLSJm1NEGIICng ⚡️ 핵심 요약 1 인간의 질병 치료는 궁극적으로 마음을 다스리는 명상, 즉 양기(養氣)법에 달려 있으며, 이는 자연치유력을 극대화하는 핵심이다. 2 질병은 각...",ba01bc8d619e34fa
66,Chronic,pre,blog,코로나 백신 부작용,2026-02-22,"코로나19 백신접종 사망자 이어지는데...질병청, 이상 사례... 
▲ [사진 설명]=2026년 2월 21일 오후 1시부터 시작된 국회 앞 코로나19백신 희생자 합동 분향소에서 진행된 제102회 ‘코로나19 백신 부작용 희생자 추모 집회’ 모습 © 강규수 기자 -2025년 한해 코로나19...",6bbed58e07e95d9e
67,FM_Direct,post,blog,코로나 백신 이물질,2026-03-01,""" 5년 전 코로나 백신 이물질 은폐 논란 팩트체크와 대처법
""내 몸속에 곰팡이가?"" 5년 전 코로나 백신 이물질 은폐 논란 팩트체크와 대처법  [바쁜 현대인을 위한 3줄 핵심 요약] (팩트 요약): 최근 2026년 2월, 과거 코로나19 백신 접종 당시 곰팡이 등 이물질 신고가...",88a9a97ae4e6adf1
68,FM_Direct,post,blog,정은경 백신,2026-02-27,"“‘오염물 코로나 백신’ 충격 발표…李대통령, 정은경... 
https://n.news.naver.com/article/081/[PHONE_REDACTED]?cds=news_edit 출처 서울신문)",395305041591354f
69,FM_Direct,pre,blog,정은경 백신,2026-02-09,"2026.02.09의료계주요뉴스
me/5yhgXjsy 안과의사회, 안경사 업무 침범 우려 속 ""정은경 장관 약속 믿는다. ""의료 기사법 개정안 비판 ""굴절검사 의료 행위 경계 여전히 모호"".대체조제 사후통보 전산시스템 ""의사가 찾아...",34f69788de3b735e
70,FM_Direct,pre,blog,코로나 백신 곰팡이,2026-02-20,"과 알 못한 자들을 일깨우는 [최소한의 과학 공부 / 저자 배대웅]
- 소 덕분에 바이러스 백신을 얻게 된 게 사실일까? 빵에 곧잘 생기는 이 푸른 곰팡이가 강력한... 그런데 코로나19 바이러스 백신은 개발 착수부터 임상 통과까지 1년도 채 걸리지 않았음은 60년간 축적된 과학...",10f9f821b5b63757
71,FM_Direct,pre,blog,정은경 백신,2026-02-20,"2026.02.20의료계주요뉴스
me/5MvlBhtq 정은경 ""1형당뇨, 7월부터 장애로서 지원 적용""… 상세한 소통 약속 출처 : 뉴스1... me/5MvlBhtq 정은경 ""1형당뇨, 7월부터 장애로서 지원 적용""… 상세한 소통 약속 출처 : 뉴스1 - https...",5461dae74750c85a
72,Chronic,post,blog,백신 피해자 모임,2026-02-23,"""충격적인"" 발견: 새로운 문서는 JP모건이 1월 6일 의회 혼란... 
https://blog.naver.com/hikaisha/224186013414  다문화주의의 종말과 자유주의자들의 유토피아적 환상 https://blog.naver.com/hikaisha/224186025516  민주당 관리들은 미국인들을 부수적 피해자로 취급한다...",387ef280fcd5f3e8
73,Court,post,blog,백신 피해 법원,2026-03-05,2026.03.05(목) 경제 뉴스 모음 비거주 1주택 규제에 선의의 피해자 우려 https://n.news.naver.com/mnews/article/022/0004110267  2026년 3월... &lt;정치&gt; • 더불어민주당이 '사법개혁 3법' 강행 처리 이후 조희대 대법원장의 거취를 압박하며...,be7dbce0df03d003
74,Chronic,post,blog,코로나 백신 피해,2026-02-27,"버섯이나 열심히 키워야 하는 이유
20년 코로나 시작하고 샀던 주식이었는데요. 이때 주식하셨던 분들은 다 아실 거예요.. 백신 관련 주!... 저희를 피해 갔어요. 저는 할머니한테 빨리 도망가야 한다고!!! 막 소리소리를 지르는데 ..... 할머니 왈...",f4bf989a0c35a991
75,FM_Direct,post,blog,정은경 백신,2026-02-28,"곰팡이 백신 ""정은경 사형 받을수도...""[구주와 변호사]
https://www.youtube.com/watch?v=ceOSCg4bPcM",53fc7a3d972e6238
76,Court,pre,blog,코로나 백신 소송,2026-02-15,"좌파들이 추방 반대 논리로 자주 인용하는 '불법 이민자 중... 영구적인 코로나 봉쇄부터 백신 여권, 기후 변화 봉쇄, 모든 경제적 자유를 박탈하는 무현금 디지털 화폐 시스템, 사유 재산이 폐지되는 &quot;공유 경제&quot;, AI가 모든 것을 지배하는 4차 산업 혁명...",0ffbedeafa80fb05
77,Chronic,post,blog,코로나 백신 부작용,2026-02-28,"구로백신후유증한의원 접종 후 증상 치료
코로나19 백신 접종이 일상화되면서, 접종 후 나타나는 후유증으로 고생하는 분들이 적지 않죠. 이러한... 자연스럽고 부작용 걱정 없는 방법으로 몸과 마음을 재충전하는 것이지요. 증상별 맞춤 치료의 효능와...",061ab1e869b6b335
78,Chronic,pre,blog,백신 피해 보상,2026-02-08,"♡모처럼 망중한 시간 돼서 김관영 전북도지사 사모님을 공개... 
확충/ #자족도시_화순군인구_20만명_도전 #글로벌_백신산업특구_K바이오化 ※삼성물산 국내 정상급... 미리예상 #동복호주변_3천여주민_직접보상건 추진 ●광주광역시협의중/재산권 침해,홍수 피해 이서,백아...",cf7122f4e7ae0069
79,Court,post,blog,백신 피해 법원,2026-02-23,"2026-02-23/벤자민풀포드/주식 폭락, 암호화폐 폭락, 부동산... Nesara/Gesara/RV 군사 법원을 통한 선거 뒤집기 - FISA 군사 재판소/고백/10일 영화 - 3 × 8 시간 세션. 10개국이 전 세계를 커버하기 위해 EBS를 운영할 예정입니다. 드러나다. 취임식 이스라엘 모사드는 전 세계...",c19eda746692df4f
80,Chronic,pre,blog,코로나 백신 부작용,2026-02-18,"환절기 면역 저하에 대비하는 효과 빠른 면역주사
그래서 인플루엔자 백신의 보조제로 활용되기도 합니다. 코로나19가 유행했을 때 중증 코로나 환자의 사망률을 낮추고 치료 효과를 높여 각광받기도 했습니다. 특히 항암 치료의 부작용을 억제하는 효과가...",007f4a3d503ae4d1
81,Chronic,post,news_comment,코로나 백신 정부 책임,2026-02-23,"곰팡이·머리카락 신고에도 1420만회 접종 강행… 감사원 ""매뉴얼 작동 ...
의료기관으로부터 ‘코로나19 백신에서 이물질이 발견됐다’는 신고 1285건을 접수했다. 정부 매뉴얼상... 감사원은 코로나 대응 과정에서 복지부·질병청·중앙재난안전대책본부·지자체 간 역할과 책임이 명확히...",982bd6109d39d408
82,Chronic,pre,blog,백신 피해 보상,2026-02-17,"MAHA 운동은 진정한 반엘리트 세력을 구축하고 있는가?
MAHA 사람들은 아동 백신, 만성 질환 발병률, 우리가 먹는 음식, 과잉 투약, 과학에 대한 신뢰 회복에... 단체들이 ‘백신 여권’에 대해 침묵하는 모습”을 보고 충격을 받았습니다. 또한 “좌파 정치 세력의...",deeb6585a3b95c20
83,Chronic,pre,blog,코로나 백신 피해,2026-02-16,"[뉴스토리] 접종으로 뒤바뀐 운명Ⅱ..깜깜이 인과성 판단 / SBS
이 영상은 코로나19 백신 접종 후 심각한 부작용을 겪거나 사망했음에도 불구하고, 정부로부터 인과성을 인정받지 못해 고통받는 피해자들과 그 가족들의 사례를 다루고 있습니다. 1. 주요 피해 사례...",158ef404e81bbe02
84,FM_Direct,post,blog,코로나 백신 이물질,2026-02-23,"[단독 분석] 충격적인 감사원 발표, 곰팡이 나온 코로나19 백신... 
위해 우려가 제기된 이물질 발견 제조번호의 코로나19 백신을 맞은 사람들의 경우, 접종 후 크고 작은 **이상 반응을 겪은 비율이 0.272%에서 최대 0.804%**에 달하는 것으로 나타났습니다. 이는 정상적인 공정을...",3c7df0b0abb7af7d
85,FM_Direct,post,news_comment,코로나 백신 이물질,2026-02-24,"곰팡이에 머리카락까지...코로나 백신, 관리 허점
24일 감사원에 따르면, 전날 발표한 코로나19 대응 체계 감사 결과에서 질병청은 2021년 3월부터 2024년 10월까지 의료기관으로부터 '코로나19 백신에서 이물질이 발견됐다'는 신고 1285건을 접수했다. 이 가운데 곰팡이와...",4c34ba799010d97e
86,FM_Direct,post,blog,감사원 백신,2026-02-23,"이물질·유효기간 만료 백신 접종? 질병청, 뒤늦게 지침 개선... 
1420만 회분, 이물질 백신 그대로 접종됐다? 감사원 보고서에 따르면, 2021년 3월부터 2024년 10월까지 의료기관에서 코로나19 백신 이물질 신고가 무려 1285건이나 접수되었습니다. 그런데 질병관리청은 이 사실을...",0a8e0d678ad37f42
87,FM_Direct,post,blog,코로나 백신 곰팡이,2026-02-24,"코로나 백신 이물질 논란, 1420만 회분 접종? 이건 꼭... 
세상에, 2021년부터 무려 3년 넘는 시간 동안 코로나19 백신에서 곰팡이나 머리카락 같은 이물질이 나왔다는 신고가 1,285건이나 접수되었다니, 이게 정말 맞는 얘긴가 싶더라고요. 그것도 무려 1,420만 회분이나...",e9dd0804cc09a7ff
88,Court,post,news,백신 피해 법원,2026-02-27,[금주의 제약·바이오 톡톡] 한미약품 대주주 지분 취득 논란... 삼성바... 삼성바이오로직스의 영업비밀을 유출해 경쟁사에 이직한 전 직원이 법원으로부터 징역형의 유죄 판결을... 후”라며 “피해회사의 신뢰를 심각히 훼손했으며 죄질이 경미하지 않다”고 판단했다. A씨는 지난 2022년 6월...,418460943e4feb27
89,Chronic,pre,blog,백신 피해 보상,2026-02-22,"제1장: 신체 주권과 시스템의 기만
시스템은 '정액 보상'으로 책임을 털어내려 하지만, 개인의 삶은 '정성적 비극'으로 기록됩니다. 6. 일본의 구제 철학 vs 한국의 입증 책임 일본의 '예방접종 피해 구제 제도'는 ""의학적으로 인과성을 완전히...",a4babff4a3d13a07
90,Court,pre,blog,백신 피해 법원,2026-02-22,"대한민국 2.0의 '출범 스케줄 사법부의 한계: 대법원은 &quot;이 법 조항엔 관세라는 단어가 없다&quot;는 식의 기술적인 판결만 내렸습니다. 결과: &quot;절망, 분노, 체념&quot; 같은 시민들의 정성적 피해를 막는 '철학적 방어막'이 되지 못했습니다. 오히려...",4469366325f3008c
91,Court,post,blog,코로나 백신 소송,2026-03-05,&quot; 남편의 질문이 판결이 되기까지… 코로나19 백신 인과성 첫... &quot; &quot; &lt; &gt; #코로나백신부작용 #백신인과성판결 #심근경색사망보상 #질병관리청항소 #코로나피해보상특별법 #취재파일 #백신부작용소송 #방역수칙협조 #국가보상책임 #사회뉴스,046cf76484091ad1
92,Chronic,pre,blog,코로나 백신 정부 책임,2026-02-19,"미국 국방부, 미국인 감시를 거부하는 인공지능 블랙리스트에... 
이는 사생활 보호, 군사적 자율성, 기업의 책임, 그리고 궁극적으로 시민과 정부 중 누가, 그리고... ******************************************************************* 아래는 주요(主要)한 기사 내용 등 코로나19...",58aa68b6c9313faa
93,Chronic,post,blog,코로나 백신 피해,2026-03-02,"이란, 대규모 폭탄 테러 이틀째 속출…하메네이 최고지도자... 
주로 미국의 걸프만 동맹국들이 피해를 입었는데, 이란의 탄도 미사일이 이 지역의 미군 기지를... https://blog.naver.com/hikaisha/224197755551 코로나19 팬데믹(인간 통제 등) + 부정선거 세계경제포럼 = 중공을...",5807308aefb83280
94,Court,pre,blog,백신 피해 법원,2026-02-21,법원이 빌 게이츠와 화이자 CEO에게 mRNA 백신으로 인한 피해... ■ 네덜란드 법원이 빌 게이츠와 화이자 최고 경영자(CEO)에게 mRNA 백신으로 인한 피해 주장과 관련된 소송에서 증언하도록 지시한 것으로 전해졌다. 본 소송은 심각한 반응을 포함한 백신 관련...,194c939f380df86c
95,Chronic,post,blog,코로나 백신 부작용,2026-02-24,"260224(화)
어제 뉴스기사에 코로나백신 이물질에 관한 내용이 나왔고 (원래 대부분 알고 있던 사실) 유튜브댓글에 백신 부작용에 대한 실제 사례 글들이 넘쳐난다. 요즘 내가 느끼는건 누구도 완벽히 신뢰해선 안된단것....",7a499bd343b38411
96,Chronic,pre,blog,코로나 백신 부작용,2026-02-21,"강아지 접종 시기 및 주기 : 첫접종 못하고 돌아온 썰
이번 포스팅에서는 강아지 예방접종 시기 및 주기와 종류, 그리고 부작용 대처법을 자세하게... 코로나 장염 & 켄넬코프: 소화기 질환과 전염성 기관지염을 막기 위한 필수 백신입니다.  광견병: 법적 의무...",9f928bce6b9e0c61
97,FM_Direct,post,blog,코로나 백신 곰팡이,2026-02-28,"제약·바이오 완전정복| 1부 기초다지기 | 1편
돌아와 보니 방치된 배양 접시에서 곰팡이(Penicillium)가 주변 세균을 죽이고 있었다. 페니실린의... 화이자-바이오앤텍과 모더나는 mRNA 기술 로 1년도 안 돼 코로나 백신을 만들어냈다. 기존 백신 개발에...",6a306af81956bb1c
98,FM_Direct,pre,blog,코로나 백신 이물질,2026-02-10,"[스누피의 건강안전상식 3.12] 폐렴(肺炎, pneumonia)의 뜻, 유래... 
(RSV), 코로나바이러스 등 비정형 병원체: 마이코플라즈마(Mycoplasma pneumoniae), 클라미디아(Chlamydia... 폐렴(이물질이 기도로 들어가 발생) ♧ 한자 및 고사성어 폐염일색(肺炎一色): 폐렴이 만연한 상황을...",a9fa18c3adfac88e
99,Court,pre,blog,코로나 백신 소송,2026-01-09,사회 일반..네이버(언론사제공) 2026년1월9일 서울중앙지법 형사합의2 KBS 2시간전 최태원-노소영 이혼소송 파기환송심 시작…노소영 출석 최태원 SK그룹 회장과 노소영 아트센터 나비 관장의 이혼소송 파기환송심 첫 변론이 오늘(9일) 열립니다. 서울고법...,4e2f8cce179750cd
100,Court,post,blog,코로나 백신 소송,2026-03-05,3월5일 뉴스 및 관점 그동안 모더나를 괴롭혔던 LNP 기술 특허 소송이 합의로 끝났습니다. 덕분에 미래 파이프라인(코로나+독감 백신 등) 개발에 속도가 붙을 전망이에요. 투자자들은 &quot;리스크가 확정적으로 줄었다&quot;며 환호...,f46fe78588f6d0ae
